case;issuerAccountNumber;PaymentType;PaymentMethodId;ProgramId;WalletID;Description;Currency;Amount;EmailNotification;IssuerTransactionId;BeneficiaryAccountNumber;BeneficiaryWalletID;BeneficiaryLinkedBankID;BeneficiaryPayPalEmailID;BeneficiaryCheckCountryCodeISO2;BeneficiaryCheckName;BeneficiaryCheckCity;BeneficiaryCheckState;BeneficiaryCheckAddresss1;BeneficiaryCheckAddresss2;BeneficiaryCheckPostalCode;BeneficiaryCheckMemo;BeneficiaryCheckReference;CardToken;errormessage
case1;SPN1987678;Company;XTR94508;86288;2314;test errors;USD;0.21;TRUE;123;SPN1986817 ;85304;982353390933219d9 ;corporatecompany2@mailinator.com;US;checkname1;florida;California;check address1;check addres2 ;900061;982353390933219d9;ref1;8DA1F205BA68485;2314 - Invalid wallet id,SPN1986817 - card token is invalid,Current funds are insufficient to process request
case2;SPN1987678;Company;XTR94508;86288;tesadastdas;test errors;USD;0.25;TRUE;12345;SPN1986817 ;85304;982353390933219d9 ;corporatecompany2@mailinator.com;US;checkname2;florida;California;check address2;check addres2 ;900062;96431BDBC13248C;ref2;8DA1F205BA68486;WalletID is Mandatory and must be an integer
case3;;Company;XTR94508;86288;2314;test errors;USD;0.25;TRUE;12345;SPN1986817 ;85304;982353390933219d9 ;corporatecompany2@mailinator.com;US;checkname3;florida;California;check address3;check addres2 ;900063;96431BDBC13248C;ref3;8DA1F205BA68487;Issuer Account Number is Mandatory
case4;SPN1987678;;XTR94508;86288;2314;test errors;USD;0.25;TRUE;12345;SPN1986817 ;85304;982353390933219d9 ;corporatecompany2@mailinator.com;US;checkname4;florida;California;check address4;check addres2 ;900064;96431BDBC13248C;ref4;8DA1F205BA68488;Payment Type is Mandatory
case5;SPN1987678;Company;;86288;2314;test errors;USD;0.25;TRUE;12345;SPN1986817 ;85304;982353390933219d9 ;corporatecompany2@mailinator.com;US;checkname5;florida;California;check address5;check addres2 ;900065;96431BDBC13248C;ref5;8DA1F205BA68489;Payment MethodId is Mandatory
case6;SPN1987678;Company;XTR94508;86288;;test errors;USD;0.25;TRUE;12345;SPN1986817 ;85304;982353390933219d9 ;corporatecompany2@mailinator.com;US;checkname6;florida;California;check address6;check addres2 ;900066;96431BDBC13248C;ref6;8DA1F205BA68490;WalletID is Mandatory and must be an integer
case7;SPN1987678;Company;XTR94508;;2314;test errors;USD;0.25;TRUE;12345;SPN1986817 ;85304;982353390933219d9 ;corporatecompany2@mailinator.com;US;checkname7;florida;California;check address7;check addres2 ;900067;96431BDBC13248C;ref7;8DA1F205BA68491;2314 - Invalid wallet id,SPN1986817 - card token is invalid,Current funds are insufficient to process request
case8;SPN1987678;Company;XTR94508;86288;2314;;USD;0.25;TRUE;12345;SPN1986817 ;85304;982353390933219d9 ;corporatecompany2@mailinator.com;US;checkname8;florida;California;check address8;check addres2 ;900068;96431BDBC13248C;ref8;8DA1F205BA68492;Payment Description is Mandatory
case9;SPN1987678;Company;XTR94508;86288;2314;test errors;;0.25;TRUE;12345;SPN1986817 ;85304;982353390933219d9 ;corporatecompany2@mailinator.com;US;checkname9;florida;California;check address9;check addres2 ;900069;96431BDBC13248C;ref9;8DA1F205BA68493;Currency is Mandatory
case10;SPN1987678;Company;XTR94508;86288;2314;test errors;USD;0.25;;12345;SPN1986817 ;85304;982353390933219d9 ;corporatecompany2@mailinator.com;US;checkname10;florida;California;check address10;check addres2 ;900070;96431BDBC13248C;ref10;8DA1F205BA68494;EmailNotification is Mandatory and must be boolean
