case;issuerAccountNumber;BeneficiaryAccountNumber;advCountry_Code2;Fictitious_Name;Website;Company_Type;Industry_Classification;Country_Of_Registration_Code2;Region_Of_Registration_Code2;Tax_Identification_Number;Identification_Type;Identification_Number;Address_Line_1;Address_Line_2;Address_Line_3;City;Country_Code2;Region_Code2;Postal_Code;Job_Title;First_Name;Last_Name;Email_Address;Date_Of_Birth;Citizenship;job_Address_Line_1;job_City;job_Region_Code2;job_Country_Code2;job_Postal_Code;Business_Phone;OwnerInformation__IsPublicallyTraded;OwnerInformation_jobtitle;Percentage_Owned;owner_First_Name;owner_Middle_Name;owner_Last_Name;owner_Email_Address;owner_Date_of_Birth;owner_Citizenship;owner_Address_Line_1;owner_City;owner_Country_Code2;owner_Region_Code2;owner_Postal_Code;experror
case1;;SPN1886288;US;Fictitious Name;Website;Limited Liability Corporation;Accommodation;US;US;7897;Passport;Identification Number;Address Line 1;Address Line 2;Address Line 3;City;US;US;90001;Director;Director First Name;Director Last Name;dir@mailinator.com;12/08/1989;IN;Director Contact Address 1;Director Identification City;US;US;90001;Director Contact Business Phone;No;CEO;50;Owner1 First Name;Owner1 Last Name;Owner1 Last Name;Owner1@xyz.com;08/02/1988;US;Owner1 Address 1;Owner1 City;US;US;92100;Issuer Account Number is Mandatory
case2;SPN19134662;;US;Fictitious Name;Website;Limited Liability Corporation;Accommodation;US;US;7897;Passport;Identification Number;Address Line 1;Address Line 2;Address Line 3;City;US;US;90001;Director;Director First Name;Director Last Name;dir@mailinator.com;12/08/1989;IN;Director Contact Address 1;Director Identification City;US;US;90001;Director Contact Business Phone;No;CEO;50;Owner1 First Name;Owner1 Last Name;Owner1 Last Name;Owner1@xyz.com;08/02/1988;US;Owner1 Address 1;Owner1 City;US;US;92100;Beneficiary Account Number is Mandatory
case3;SPN19134662;SPN1886288;dasdsad;Fictitious Name;Website;Limited Liability Corporation;Accommodation;US;US;7897;Passport;Identification Number;Address Line 1;Address Line 2;Address Line 3;City;US;US;90001;Director;Director First Name;Director Last Name;dir@mailinator.com;12/08/1989;IN;Director Contact Address 1;Director Identification City;US;US;90001;Director Contact Business Phone;No;CEO;50;Owner1 First Name;Owner1 Last Name;Owner1 Last Name;Owner1@xyz.com;08/02/1988;US;Owner1 Address 1;Owner1 City;US;US;92100;Country_Of_Registration_Code2 must be a string with a maximum length of 2
case4;SPN19134662;SPN1886288;;Fictitious Name;Website;Limited Liability Corporation;Accommodation;US;US;7897;Passport;Identification Number;Address Line 1;Address Line 2;Address Line 3;City;US;US;90001;Director;Director First Name;Director Last Name;dir@mailinator.com;12/08/1989;IN;Director Contact Address 1;Director Identification City;US;US;90001;Director Contact Business Phone;No;CEO;50;Owner1 First Name;Owner1 Last Name;Owner1 Last Name;Owner1@xyz.com;08/02/1988;US;Owner1 Address 1;Owner1 City;US;US;92100;Country_Of_Registration_Code2 is Mandatory
case5;SPN19134662;SPN1886288;US;Fictitious Name;;Limited Liability Corporation;Accommodation;US;US;7897;Passport;Identification Number;Address Line 1;Address Line 2;Address Line 3;City;US;US;90001;Director;Director First Name;Director Last Name;dir@mailinator.com;12/08/1989;IN;Director Contact Address 1;Director Identification City;US;US;90001;Director Contact Business Phone;No;CEO;50;Owner1 First Name;Owner1 Last Name;Owner1 Last Name;Owner1@xyz.com;08/02/1988;US;Owner1 Address 1;Owner1 City;US;US;92100;BusinessEntityInformation : Website is mandatory
case6;SPN19134662;SPN1886288;US;Fictitious Name;Website;;Accommodation;US;US;7897;Passport;Identification Number;Address Line 1;Address Line 2;Address Line 3;City;US;US;90001;Director;Director First Name;Director Last Name;dir@mailinator.com;12/08/1989;IN;Director Contact Address 1;Director Identification City;US;US;90001;Director Contact Business Phone;No;CEO;50;Owner1 First Name;Owner1 Last Name;Owner1 Last Name;Owner1@xyz.com;08/02/1988;US;Owner1 Address 1;Owner1 City;US;US;92100;BusinessEntityInformation : Company_Type is mandatory
case7;SPN19134662;SPN1886288;US;Fictitious Name;Website;Limited dasdsaLiability Corporation;Accommodation;US;US;7897;Passport;Identification Number;Address Line 1;Address Line 2;Address Line 3;City;US;US;90001;Director;Director First Name;Director Last Name;dir@mailinator.com;12/08/1989;IN;Director Contact Address 1;Director Identification City;US;US;90001;Director Contact Business Phone;No;CEO;50;Owner1 First Name;Owner1 Last Name;Owner1 Last Name;Owner1@xyz.com;08/02/1988;US;Owner1 Address 1;Owner1 City;US;US;92100;BusinessEntityInformation : Company_Type is invalid.
case8;SPN19134662;SPN1886288;US;Fictitious Name;Website;Limited Liability Corporation;;US;US;7897;Passport;Identification Number;Address Line 1;Address Line 2;Address Line 3;City;US;US;90001;Director;Director First Name;Director Last Name;dir@mailinator.com;12/08/1989;IN;Director Contact Address 1;Director Identification City;US;US;90001;Director Contact Business Phone;No;CEO;50;Owner1 First Name;Owner1 Last Name;Owner1 Last Name;Owner1@xyz.com;08/02/1988;US;Owner1 Address 1;Owner1 City;US;US;92100;BusinessEntityInformation : Industry_Classification is mandatory
case9;SPN19134662;SPN1886288;US;Fictitious Name;Website;Limited Liability Corporation;Accommodation;;US;7897;Passport;Identification Number;Address Line 1;Address Line 2;Address Line 3;City;US;US;90001;Director;Director First Name;Director Last Name;dir@mailinator.com;12/08/1989;IN;Director Contact Address 1;Director Identification City;US;US;90001;Director Contact Business Phone;No;CEO;50;Owner1 First Name;Owner1 Last Name;Owner1 Last Name;Owner1@xyz.com;08/02/1988;US;Owner1 Address 1;Owner1 City;US;US;92100;BusinessEntityInformation : Country_Of_Incorporation_Code2 is mandatory
case10;SPN19134662;SPN1886288;US;Fictitious Name;Website;Limited Liability Corporation;Accommodation;Usdasdasd;US;7897;Passport;Identification Number;Address Line 1;Address Line 2;Address Line 3;City;US;US;90001;Director;Director First Name;Director Last Name;dir@mailinator.com;12/08/1989;IN;Director Contact Address 1;Director Identification City;US;US;90001;Director Contact Business Phone;No;CEO;50;Owner1 First Name;Owner1 Last Name;Owner1 Last Name;Owner1@xyz.com;08/02/1988;US;Owner1 Address 1;Owner1 City;US;US;92100;BusinessEntityInformation : Country_Of_Registration_Code2 is invalid
case11;SPN19134662;SPN1886288;US;Fictitious Name;Website;Limited Liability Corporation;Accommodation;US;;7897;Passport;Identification Number;Address Line 1;Address Line 2;Address Line 3;City;US;US;90001;Director;Director First Name;Director Last Name;dir@mailinator.com;12/08/1989;IN;Director Contact Address 1;Director Identification City;US;US;90001;Director Contact Business Phone;No;CEO;50;Owner1 First Name;Owner1 Last Name;Owner1 Last Name;Owner1@xyz.com;08/02/1988;US;Owner1 Address 1;Owner1 City;US;US;92100;BusinessEntityInformation : Region_Of_Incorporation_Code2 is mandatory
case12;SPN19134662;SPN1886288;US;Fictitious Name;Website;Limited Liability Corporation;Accommodation;US;US;;Passport;Identification Number;Address Line 1;Address Line 2;Address Line 3;City;US;US;90001;Director;Director First Name;Director Last Name;dir@mailinator.com;12/08/1989;IN;Director Contact Address 1;Director Identification City;US;US;90001;Director Contact Business Phone;No;CEO;50;Owner1 First Name;Owner1 Last Name;Owner1 Last Name;Owner1@xyz.com;08/02/1988;US;Owner1 Address 1;Owner1 City;US;US;92100;BusinessEntityInformation : Tax_Identification_Number is mandatory
case13;SPN19134662;SPN1886288;US;Fictitious Name;Website;Limited Liability Corporation;Accommodation;US;US;7897;;Identification Number;Address Line 1;Address Line 2;Address Line 3;City;US;US;90001;Director;Director First Name;Director Last Name;dir@mailinator.com;12/08/1989;IN;Director Contact Address 1;Director Identification City;US;US;90001;Director Contact Business Phone;No;CEO;50;Owner1 First Name;Owner1 Last Name;Owner1 Last Name;Owner1@xyz.com;08/02/1988;US;Owner1 Address 1;Owner1 City;US;US;92100;BusinessEntityInformation : Identification_Type is mandatory
case14;SPN19134662;SPN1886288;US;Fictitious Name;Website;Limited Liability Corporation;Accommodation;US;US;7897;Passport;;Address Line 1;Address Line 2;Address Line 3;City;US;US;90001;Director;Director First Name;Director Last Name;dir@mailinator.com;12/08/1989;IN;Director Contact Address 1;Director Identification City;US;US;90001;Director Contact Business Phone;No;CEO;50;Owner1 First Name;Owner1 Last Name;Owner1 Last Name;Owner1@xyz.com;08/02/1988;US;Owner1 Address 1;Owner1 City;US;US;92100;BusinessEntityInformation : Identification_Number is mandatory
case15;SPN19134662;SPN1886288;US;Fictitious Name;Website;Limited Liability Corporation;Accommodation;US;US;7897;Passport;Identification Number;;Address Line 2;Address Line 3;City;US;US;90001;Director;Director First Name;Director Last Name;dir@mailinator.com;12/08/1989;IN;Director Contact Address 1;Director Identification City;US;US;90001;Director Contact Business Phone;No;CEO;50;Owner1 First Name;Owner1 Last Name;Owner1 Last Name;Owner1@xyz.com;08/02/1988;US;Owner1 Address 1;Owner1 City;US;US;92100;BusinessEntityInformation : Address_Line_1 is mandatory
case16;SPN19134662;SPN1886288;US;Fictitious Name;Website;Limited Liability Corporation;Accommodation;US;US;7897;Passport;Identification Number;Address Line 1;Address Line 2;Address Line 3;;US;US;90001;Director;Director First Name;Director Last Name;dir@mailinator.com;12/08/1989;IN;Director Contact Address 1;Director Identification City;US;US;90001;Director Contact Business Phone;No;CEO;50;Owner1 First Name;Owner1 Last Name;Owner1 Last Name;Owner1@xyz.com;08/02/1988;US;Owner1 Address 1;Owner1 City;US;US;92100;BusinessEntityInformation : City is mandatory
case17;SPN19134662;SPN1886288;US;Fictitious Name;Website;Limited Liability Corporation;Accommodation;US;US;7897;Passport;Identification Number;Address Line 1;Address Line 2;Address Line 3;City;;;90001;Director;Director First Name;Director Last Name;dir@mailinator.com;12/08/1989;IN;Director Contact Address 1;Director Identification City;US;US;90001;Director Contact Business Phone;No;CEO;50;Owner1 First Name;Owner1 Last Name;Owner1 Last Name;Owner1@xyz.com;08/02/1988;US;Owner1 Address 1;Owner1 City;US;US;92100;BusinessEntityInformation : Region_Code2 is mandatory,BusinessEntityInformation : Country_Code2 is mandatory
case18;SPN19134662;SPN1886288;US;Fictitious Name;Website;Limited Liability Corporation;Accommodation;US;US;7897;Passport;Identification Number;Address Line 1;Address Line 2;Address Line 3;City;US;US;90001;;;;;;IN;Director Contact Address 1;Director Identification City;US;US;90001;Director Contact Business Phone;No;CEO;50;Owner1 First Name;Owner1 Last Name;Owner1 Last Name;Owner1@xyz.com;08/02/1988;US;Owner1 Address 1;Owner1 City;US;US;92100;AuthorizedContactInformation : Job_Title is mandatory,AuthorizedContactInformation : First_Name is mandatory,AuthorizedContactInformation : Last_Name is mandatory,AuthorizedContactInformation : Email_Address is mandatory,AuthorizedContactInformation : Date_Of_Birth is mandatory
case19;SPN19134662;SPN1886288;US;Fictitious Name;Website;Limited Liability Corporation;Accommodation;US;US;7897;Passport;Identification Number;Address Line 1;Address Line 2;Address Line 3;City;US;US;90001;Director;Director First Name;Director Last Name;dir@mailinator.com;12/08/1989;INDASDAS;Director Contact Address 1;Director Identification City;US;US;90001;Director Contact Business Phone;No;CEO;50;Owner1 First Name;Owner1 Last Name;Owner1 Last Name;Owner1@xyz.com;08/02/1988;US;Owner1 Address 1;Owner1 City;US;US;92100;AuthorizedContactInformation : Citizenship must be a countryiso2 string with maximum a length of 2
case20;SPN19134662;SPN1886288;US;Fictitious Name;Website;Limited Liability Corporation;Accommodation;US;US;7897;Passport;Identification Number;Address Line 1;Address Line 2;Address Line 3;City;US;US;90001;Director;Director First Name;Director Last Name;dir@mailinator.com;12/08/1989;IN;;;;US;90001;Director Contact Business Phone;No;CEO;50;Owner1 First Name;Owner1 Last Name;Owner1 Last Name;Owner1@xyz.com;08/02/1988;US;Owner1 Address 1;Owner1 City;US;US;92100;AuthorizedContactInformation : Address_Line_1 is mandatory,AuthorizedContactInformation : City is mandatory,AuthorizedContactInformation : Region_Code2 is mandatory
case21;SPN19134662;SPN1886288;US;Fictitious Name;Website;Limited Liability Corporation;Accommodation;US;US;7897;Passport;Identification Number;Address Line 1;Address Line 2;Address Line 3;City;US;US;90001;Director;Director First Name;Director Last Name;dir@mailinator.com;12/08/1989;IN;Director Contact Address 1;Director Identification City;US;;;;No;CEO;50;Owner1 First Name;Owner1 Last Name;Owner1 Last Name;Owner1@xyz.com;08/02/1988;US;Owner1 Address 1;Owner1 City;US;US;92100;AuthorizedContactInformation : Country_Code2 is mandatory,AuthorizedContactInformation : Postal_Code is mandatory,AuthorizedContactInformation : Business_Phone is mandatory
case22;SPN19134662;SPN1886288;US;Fictitious Name;Website;Limited Liability Corporation;Accommodation;US;US;7897;Passport;Identification Number;Address Line 1;Address Line 2;Address Line 3;City;US;US;90001;Director;Director First Name;Director Last Name;dir@mailinator.com;12/08/1989;IN;Director Contact Address 1;Director Identification City;US;US;90001;Director Contact Business Phone;No;;;;;;;;;;;;;;OwnerInformation[0] :Job_Title is mandatory,OwnerInformation[0] : Percentage_Owned is mandatory,OwnerInformation[0] : Percentage_Owned is must be an integer between 0 and 100,OwnerInformation[0] :Date_of_Birth is mandatory,OwnerInformation[0] :Citizenship is mandatory,OwnerInformation[0] :Address_Line_1 is mandatory,OwnerInformation[0] :City is mandatory,OwnerInformation[0] :Country_Code2 is mandatory,OwnerInformation[0] :Region_Code2 is mandatory,OwnerInformation[0] :Postal_Code is mandatory
case23;SPN19134662;SPN1886288;US;Fictitious Name;Website;Limited Liability Corporation;Accommodation;US;US;7897;Passport;Identification Number;Address Line 1;Address Line 2;Address Line 3;City;US;US;90001;Director;Director First Name;Director Last Name;dir@mailinator.com;12/08/1989;IN;Director Contact Address 1;Director Identification City;US;US;90001;Director Contact Business Phone;No;;;;Owner1 Last Name;Owner1 Last Name;Owner1@xyz.com;08/02/1988;US;Owner1 Address 1;Owner1 City;US;US;92100;OwnerInformation[0] :Job_Title is mandatory,OwnerInformation[0] : Percentage_Owned is mandatory,OwnerInformation[0] : Percentage_Owned is must be an integer between 0 and 100
case24;SPN19134662;SPN1886288;US;Fictitious Name;Website;Limited Liability Corporation;Accommodation;US;US;7897;Passport;Identification Number;Address Line 1;Address Line 2;Address Line 3;City;US;US;90001;Director;Director First Name;Director Last Name;dir@mailinator.com;12/08/1989;IN;Director Contact Address 1;Director Identification City;US;US;90001;Director Contact Business Phone;No;CEO;50;Owner1 First Name;Owner1 Last Name;Owner1 Last Name;;;;Owner1 Address 1;Owner1 City;US;US;92100;OwnerInformation[0] :Date_of_Birth is mandatory,OwnerInformation[0] :Citizenship is mandatory
case25;SPN19134662;SPN1886288;US;Fictitious Name;Website;Limited Liability Corporation;Accommodation;US;US;7897;Passport;Identification Number;Address Line 1;Address Line 2;Address Line 3;City;US;US;90001;Director;Director First Name;Director Last Name;dir@mailinator.com;12/08/1989;IN;Director Contact Address 1;Director Identification City;US;;90001;Director Contact Business Phone;Yesdas;CEO;50;Owner1 First Name;Owner1 Last Name;Owner1 Last Name;;;;Owner1 Address 1;Owner1 City;US;US;92100;AuthorizedContactInformation : Country_Code2 is mandatory,OwnerInformation : IsPublicallyTraded must be yes or no
case26;SPN19134662;SPN1886288;US;Fictitious Name;Website;Limited Liability Corporation;Accommodation;US;US;7897;Passport;Identification Number;Address Line 1;Address Line 2;Address Line 3;City;US;US;90001;Director;Director First Name;Director Last Name;dir@mailinator.com;12/08/1989;IN;Director Contact Address 1;Director Identification City;US;;90001;Director Contact Business Phone;;CEO;50;Owner1 First Name;Owner1 Last Name;Owner1 Last Name;;;;Owner1 Address 1;Owner1 City;US;US;92100;AuthorizedContactInformation : Country_Code2 is mandatory,OwnerInformation : Is_the_Company_Pubicly_Traded is mandatory,OwnerInformation : IsPublicallyTraded must be yes or no
