case;IssuerAccountNumber;Currency;Amount;PaymentMethodID;BeneficiaryAccountNumber;BeneficiaryWalletID;BeneficiaryLinkedBankID;OTP;SendTransferCodetoEmail;SendTransferCodetoMobile;BeneficiaryCardToken;errormessage
case1;SPN19134662;USD;10;XTR94505;SPN19134657;83084;;;TRUE;FALSE;8DA1F205BA68485 ;XTR94505 - Invalid Payment Method Id,83084 - Invalid beneficiary wallet id,Current funds are insufficient to process request
case2;SPN19134662;USD;123456789;XTR94505;SPN19134657;83084;;;TRUE;FALSE;8DA1F205BA68485 ;XTR94505 - Invalid Payment Method Id,83084 - Invalid beneficiary wallet id,Current funds are insufficient to process request
case3;SPN19134662;dsadasdsa;20;;SPN19134657;86293;;;;;8DA1F205BA68485 ;Currency must be a string with a maximum length of 3,Payment MethodId is Mandatory
case4;SPN19134662;USD;0.11;XTR94508;SPN19134657;83084;;;TRUE;FALSE;8DA1F205BA68485 ;83084 - Invalid beneficiary wallet id,SPN19134657 - card token is invalid,Current funds are insufficient to process request
case5;SPN19134662;USD;123456789;XTR94505;SPN19134657;83084;;;TRUE;FALSE;8DA1F205BA68485 ;XTR94505 - Invalid Payment Method Id,83084 - Invalid beneficiary wallet id,Current funds are insufficient to process request
case6;SPN19134662;USD;5;XTR94507;SPN19134657;83084;;;TRUE;FALSE;8DA1F205BA68485 ;XTR94507 - Invalid Payment Method Id,83084 - Invalid beneficiary wallet id,Current funds are insufficient to process request
case7;SPN19134662;USD;5;XTR94500;SPN19134657;83084;;;TRUE;FALSE;8DA1F205BA68485 ;83084 - Invalid beneficiary wallet id,Beneficiary Linked BankID is mandatory,Current funds are insufficient to process request
case8;SPN19134662;USD;5;XTR94505;SPN19134657;83084;;;TRUE;FALSE;8DA1F205BA68485 ;XTR94505 - Invalid Payment Method Id,83084 - Invalid beneficiary wallet id,Current funds are insufficient to process request
case9;SPN19134662;USD;5;XTR94503;SPN19134657;83084;;;TRUE;FALSE;8DA1F205BA68485 ;XTR94503 - Invalid Payment Method Id,83084 - Invalid beneficiary wallet id,Current funds are insufficient to process request
case10;SPN19134662;USD;5;XTR94504;SPN19134657;83084;;;TRUE;FALSE;8DA1F205BA68485 ;XTR94504 - Invalid Payment Method Id,83084 - Invalid beneficiary wallet id,Current funds are insufficient to process request
case11;;;;;;;;;;;8DA1F205BA68485 ;Not authorized to access this resource.
case12;SPN19134662;;5;XTR94504;PAT21138887 ;83084;;;TRUE;FALSE;8DA1F205BA68485 ;Currency is Mandatory
;;;;;;;;;;;;PAT17126580 Card Token is mandatory
